AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
5.42,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
5.42,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
5.42,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
5.42,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
5.42,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
5.42,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
5.42,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
5.42,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
6.218,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
6.218,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
6.218,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
6.218,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
6.218,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
6.218,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
6.218,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
6.218,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
8.152,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
8.152,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
8.152,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
8.152,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
8.152,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
8.152,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
8.152,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
8.152,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
10.154,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
10.154,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
10.154,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
10.154,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
10.154,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
10.154,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
10.154,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
10.154,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
12.156,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
12.156,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
12.156,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
12.156,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
12.156,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
12.156,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
12.156,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
12.156,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
14.152,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
14.152,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
14.152,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
14.152,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
14.152,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
14.152,,58:d9:d5:82:52:e4,-86.0,5.0,3.0,3.0
14.152,eduroam,04:18:d6:81:26:e8,-64.0,5.0,3.0,3.0
14.152,eduroam,dc:9f:db:1b:91:6a,-83.0,5.0,3.0,3.0
16.149,480Invitados,34:3a:20:a6:f5:22,-82.0,5.0,3.0,3.0
16.149,cuatroochenta,34:3a:20:a6:f5:23,-83.0,5.0,3.0,3.0
16.149,UJI,de:9f:db:1b:63:ed,-78.0,5.0,3.0,3.0
16.149,GEOTECWIFI03,f8:1a:67:37:05:b8,-57.0,5.0,3.0,3.0
16.149,UJI,de:9f:db:1b:91:6a,-85.0,5.0,3.0,3.0
