AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.311,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
1.311,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
1.311,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
1.311,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
1.311,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
1.311,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
1.311,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
1.311,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
3.305,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
3.305,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
3.305,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
3.305,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
3.305,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
3.305,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
3.305,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
3.305,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
5.304,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
5.304,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
5.304,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
5.304,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
5.304,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
5.304,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
5.304,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
5.304,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
7.311,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
7.311,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
7.311,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
7.311,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
7.311,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
7.311,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
7.311,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
7.311,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
9.306,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
9.306,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
9.306,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
9.306,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
9.306,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
9.306,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
9.306,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
9.306,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
11.31,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
11.31,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
11.31,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
11.31,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
11.31,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
11.31,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
11.31,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
11.31,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
13.309,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
13.309,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
13.309,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
13.309,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
13.309,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
13.309,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
13.309,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
13.309,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
15.312,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
15.312,UJI,de:9f:db:1b:63:ed,-79.0,14.0,7.8,0.6
15.312,eduroam,04:18:d6:82:26:e8,-59.0,14.0,7.8,0.6
15.312,UJI,de:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
15.312,UJI,06:18:d6:82:26:e8,-60.0,14.0,7.8,0.6
15.312,NTTData,84:aa:9c:f3:27:ea,-88.0,14.0,7.8,0.6
15.312,eduroam,04:18:d6:81:26:e8,-47.0,14.0,7.8,0.6
15.312,eduroam,dc:9f:db:1b:91:6a,-80.0,14.0,7.8,0.6
17.316,480Invitados,34:3a:20:a6:f5:22,-87.0,14.0,7.8,0.6
