Model,Label,Learning Rate,N Critic,Clip Value,Gradient Penalty,Kullback-Leibler Divergence,Inception Score
CGAN,GEOTECWIFI03,5e-05,,,,0.15989384921516187,672.4104999304136
CGAN,480Invitados,5e-05,,,,0.18830108932372797,367.89159353078816
CGAN,eduroam,5e-05,,,,0.0020986064625150144,508.10327640977914
CGAN,wpen-uji,5e-05,,,,0.1109686200003871,462.5887085932903
CGAN,lt1iot,5e-05,,,,0.19447840213697912,405.4485384004958
CGAN,cuatroochenta,5e-05,,,,0.1512715434660352,341.8566892012389
CGAN,UJI,5e-05,,,,0.002537611703550837,408.43283459494444
CGAN,GEOTECWIFI03,0.0001,,,,0.002880101988200101,465.5042858498565
CGAN,480Invitados,0.0001,,,,0.039241056172204365,324.102459958094
CGAN,eduroam,0.0001,,,,0.00020924870817195422,305.3306137842317
CGAN,wpen-uji,0.0001,,,,0.021463671496323333,299.02044176864905
CGAN,lt1iot,0.0001,,,,0.016980182194080796,367.1184678727782
CGAN,cuatroochenta,0.0001,,,,0.05779751818268047,324.93030711458664
CGAN,UJI,0.0001,,,,0.00048440273343171823,353.29865980368265
CGAN,GEOTECWIFI03,0.0005,,,,0.006518840858563073,474.6384729462803
CGAN,480Invitados,0.0005,,,,0.012631526569860293,283.5950844293594
CGAN,eduroam,0.0005,,,,0.00015684398510736747,248.57608508174025
CGAN,wpen-uji,0.0005,,,,0.0514353840761427,255.36331806786905
CGAN,lt1iot,0.0005,,,,0.025765292312287625,268.68822498752104
CGAN,cuatroochenta,0.0005,,,,0.03220866733009061,269.82933436311663
CGAN,UJI,0.0005,,,,0.0003977566030246948,290.97187466445723
CGAN,GEOTECWIFI03,0.001,,,,0.041251085594210896,1455.2456903997227
CGAN,480Invitados,0.001,,,,,1011.0521264193738
CGAN,eduroam,0.001,,,,0.006293860166983065,1028.3292520109549
CGAN,wpen-uji,0.001,,,,,1099.7371167423844
CGAN,lt1iot,0.001,,,,,1113.1887090198234
CGAN,cuatroochenta,0.001,,,,,1076.6773547979087
CGAN,UJI,0.001,,,,0.005423064746042323,1059.7896746545027
CGAN,GEOTECWIFI03,0.005,,,,14.15719585766249,1175.0698378667817
CGAN,480Invitados,0.005,,,,11.242106561172417,884.8659864679038
CGAN,eduroam,0.005,,,,14.073788269144364,754.2258676634708
CGAN,wpen-uji,0.005,,,,11.539374508677982,999.1281504371739
CGAN,lt1iot,0.005,,,,14.654466995557575,922.3052616596692
