Model,n_repeat,Mean_Euclidean_Dist,RMSE,MSE,MAE
SinRPMAP-KNN,0,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,0,4.90482343465082,4.014952720102187,16.11984534465595,3.222440198348503
SinRPMAP-KNN,1,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,1,4.896836323697941,3.986112456405172,15.889092515108475,3.2246031697127413
SinRPMAP-KNN,2,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,2,4.886235969130699,3.96818746428159,15.746511751681556,3.209294546691511
SinRPMAP-KNN,3,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,3,4.938688549197299,4.003757342039505,16.030072853935245,3.2434788720303733
SinRPMAP-KNN,4,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,4,4.934961866243008,4.021358847341259,16.17132697908982,3.2415251896201074
SinRPMAP-KNN,5,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,5,4.850753693604754,3.970792546823148,15.767193449906262,3.198428095684911
SinRPMAP-KNN,6,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,6,4.9241772071118675,4.005450467201353,16.04363344520354,3.230135253122045
SinRPMAP-KNN,7,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,7,4.937478382608917,4.0287196052145475,16.23058165744006,3.253482542632674
SinRPMAP-KNN,8,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,8,4.920534829122277,4.008912735452243,16.071381320471183,3.2305064871193445
SinRPMAP-KNN,9,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,9,4.863849597022743,3.951272322898443,15.612552969703257,3.195638619153748
RPMAP-KNN,0,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,0,4.626433121859709,3.682316561382488,13.559455258231752,3.0230508226241315
RPMAP-KNN,1,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,1,4.628368706708828,3.669676977245704,13.466529117327166,3.0221289062346246
RPMAP-KNN,2,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,2,4.643627713471043,3.6983291400995424,13.67763842850942,3.042534697321552
RPMAP-KNN,3,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,3,4.679012892604883,3.7268304122807496,13.889264921900702,3.0562609984157607
RPMAP-KNN,4,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,4,4.655637638750574,3.7098600901922842,13.763061888801502,3.0426294126257067
RPMAP-KNN,5,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,5,4.675897093004825,3.712712229823717,13.784232101482598,3.0500717272154767
RPMAP-KNN,6,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,6,4.662493412732232,3.691411073718578,13.626515715172145,3.0448408622055383
RPMAP-KNN,7,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,7,4.67089108586186,3.705361272509947,13.729702159816533,3.0503067094050733
RPMAP-KNN,8,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,8,4.657210610072401,3.7066754458153808,13.739442860610652,3.0504176415238233
RPMAP-KNN,9,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,9,4.637790137536028,3.68536359423196,13.58190482169031,3.0366177142168347
cGAN (DA)-KNN,0,4.412761054841594,3.5462988459369416,12.576235504693683,2.7516434770629568
cGAN (DA)-RF,0,4.760714430142137,3.8050881063011137,14.478695496714195,3.0568895199063233
WcGAN (DA)-KNN,0,4.533561566498999,3.5694597269075388,12.74104274201484,2.8454435872709745
WcGAN (DA)-RF,0,4.657188139396596,3.708427837338171,13.752437024744664,3.0375289502686327
WcGAN-GP (DA)-KNN,0,4.837124229538404,3.8033648417186403,14.46558411922146,3.0726236396197826
WcGAN-GP (DA)-RF,0,4.603332078209149,3.6542202347422656,13.35332552399982,2.9741198494971703
cGAN (DA)-KNN,1,4.341965844393285,3.4583781686502606,11.960379557396731,2.7642133902741426
cGAN (DA)-RF,1,4.835416461087994,3.8489428864346364,14.81436134303579,3.1121168236966925
WcGAN (DA)-KNN,1,4.463415798160318,3.5666148977514656,12.720741828862696,2.849497864719659
WcGAN (DA)-RF,1,4.695897494908512,3.722190922836478,13.854705266046269,3.064337910082064
WcGAN-GP (DA)-KNN,1,4.69909647610492,3.7267143814207198,13.888400080688019,2.972909491665519
WcGAN-GP (DA)-RF,1,4.585690517045805,3.628155301510327,13.163510891877491,2.889800673302109
cGAN (DA)-KNN,2,4.564445135757033,3.6748140548105748,13.504258337433336,2.887071221931396
cGAN (DA)-RF,2,4.80674207903546,3.84870552908455,14.812534249605989,3.086295610252298
WcGAN (DA)-KNN,2,4.4520140296250945,3.533989783457418,12.489083789581409,2.845445653671305
WcGAN (DA)-RF,2,4.708045106491441,3.7487906120326886,14.053431052864418,3.0566340161474415
WcGAN-GP (DA)-KNN,2,4.5653427618163995,3.5771497374351053,12.796000244032042,2.8552321256371407
WcGAN-GP (DA)-RF,2,4.854881145222764,3.8461704681085433,14.79302726975029,3.1014151570464192
cGAN (DA)-KNN,3,4.675277929010942,3.790173786540503,14.365417332178776,2.908330348532856
cGAN (DA)-RF,3,4.907156644782972,3.91937413431324,15.361493604723659,3.1528368517898966
WcGAN (DA)-KNN,3,4.570735654744256,3.6400026672071424,13.249619417275111,2.9166021490563443
WcGAN (DA)-RF,3,4.7246261933648555,3.7806959515081324,14.293661877749981,3.0834349693975955
WcGAN-GP (DA)-KNN,3,4.950747973902134,3.827382331102144,14.648855508432883,3.1453361344537814
WcGAN-GP (DA)-RF,3,4.721781705041609,3.7089416149412986,13.756247903043368,3.0607314496290297
cGAN (DA)-KNN,4,4.464095868821059,3.543100945405069,12.55356430933029,2.852233778757405
cGAN (DA)-RF,4,4.822312178163162,3.8468322532941133,14.798118384983864,3.1030085450573686
WcGAN (DA)-KNN,4,4.830496312695052,3.8391020832815546,14.738704805856774,3.0634467557514813
WcGAN (DA)-RF,4,4.783095209405592,3.810726625141221,14.521637411560198,3.112729061952651
WcGAN-GP (DA)-KNN,4,4.458589334626844,3.4495326499855135,11.89927550331608,2.8012763466042157
WcGAN-GP (DA)-RF,4,4.52703977557533,3.60218601503922,12.975744086944138,2.9026289330486263
cGAN (DA)-KNN,5,4.701059931111638,3.681565988094265,13.553928124692503,2.9895646783303484
cGAN (DA)-RF,5,4.788993370923573,3.7889439292090406,14.356096098690042,3.109940070946412
WcGAN (DA)-KNN,5,4.534609812966805,3.616782797120509,13.081117801546851,2.8916276346604217
WcGAN (DA)-RF,5,4.745425392493294,3.754565856617096,14.096764771674868,3.0734628453840545
WcGAN-GP (DA)-KNN,5,4.420548465411559,3.4802998556155953,12.112487084997934,2.828478440556551
WcGAN-GP (DA)-RF,5,5.126614343233448,4.048369494131587,16.389295561015242,3.2554581054552902
cGAN (DA)-KNN,6,4.981843717073294,3.9083950838348396,15.275552131344343,3.1457494145199063
cGAN (DA)-RF,6,4.742093582258724,3.819366568153127,14.587560981925792,3.018955322702849
WcGAN (DA)-KNN,6,4.599541474399949,3.6364369496554994,13.223673688819792,2.9440439454470315
WcGAN (DA)-RF,6,4.719800887427036,3.753945396274567,14.092106038211014,3.1106513724342197
WcGAN-GP (DA)-KNN,6,4.569848198866128,3.564651339342779,12.706739171078267,2.939466868714699
WcGAN-GP (DA)-RF,6,4.915103188117431,3.8687842864185393,14.967491854839006,3.174297491906598
cGAN (DA)-KNN,7,4.415228043899476,3.5634799323344417,12.698389228150278,2.803198098911696
cGAN (DA)-RF,7,4.760503645932257,3.857633361253504,14.881335149856005,3.023362466051994
WcGAN (DA)-KNN,7,4.537527866837603,3.63099548665053,13.18412822407652,2.8801425816228132
WcGAN (DA)-RF,7,4.672210828195908,3.695264736777654,13.654981474872423,3.0353453909432635
WcGAN-GP (DA)-KNN,7,4.92854390492504,3.918007028105572,15.350779072284654,3.1268191210910596
