Model,Mean_Euclidean_Dist,RMSE,MSE,MAE
RPMAP-KNN,4.51 +- 0.0,3.622 +- 0.0,13.12 +- 0.0,2.87 +- 0.0
WcGAN (DA)-KNN,4.541 +- 0.12,3.616 +- 0.089,13.081 +- 0.656,2.885 +- 0.078
cGAN (DA)-KNN,4.551 +- 0.198,3.639 +- 0.135,13.257 +- 0.997,2.874 +- 0.128
RPMAP-RF,4.654 +- 0.019,3.699 +- 0.017,13.682 +- 0.125,3.042 +- 0.012
WcGAN (DA)-RF,4.697 +- 0.05,3.738 +- 0.04,13.972 +- 0.297,3.061 +- 0.034
WcGAN-GP (DA)-KNN,4.717 +- 0.204,3.711 +- 0.179,13.801 +- 1.32,3.0 +- 0.14
WcGAN-GP (DA)-RF,4.792 +- 0.185,3.797 +- 0.147,14.44 +- 1.117,3.071 +- 0.118
cGAN (DA)-RF,4.804 +- 0.054,3.84 +- 0.038,14.745 +- 0.295,3.084 +- 0.042
cGAN (SYN)-RF,4.839 +- 0.188,3.752 +- 0.17,14.104 +- 1.268,3.069 +- 0.112
WcGAN (SYN)-RF,4.857 +- 0.091,3.735 +- 0.06,13.954 +- 0.448,3.12 +- 0.05
SinRPMAP-RF,4.906 +- 0.031,3.996 +- 0.026,15.968 +- 0.204,3.225 +- 0.019
WcGAN-GP (SYN)-RF,4.973 +- 0.125,3.832 +- 0.12,14.696 +- 0.919,3.182 +- 0.094
WcGAN-GP (SYN)-KNN,5.214 +- 0.306,4.057 +- 0.241,16.512 +- 1.954,3.278 +- 0.178
cGAN (SYN)-KNN,5.277 +- 0.254,4.143 +- 0.191,17.2 +- 1.608,3.312 +- 0.143
SinRPMAP-KNN,5.411 +- 0.0,4.39 +- 0.0,19.268 +- 0.0,3.478 +- 0.0
WcGAN (SYN)-KNN,5.449 +- 0.204,4.235 +- 0.163,17.958 +- 1.394,3.437 +- 0.119
