Model,n_repeat,Mean_Euclidean_Dist,RMSE,MSE,MAE
SinRPMAP-KNN,0,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,0,4.88546374452209,3.987820609176663,15.902713210974133,3.2267279967525755
SinRPMAP-KNN,1,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,1,4.887661042190398,3.9664613518087606,15.73281565539258,3.2151105657302135
SinRPMAP-KNN,2,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,2,4.886695173875287,3.9750135265684614,15.800732536402235,3.227079818771139
SinRPMAP-KNN,3,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,3,4.926311008388344,4.011039305297844,16.088436308644212,3.2350148223970145
SinRPMAP-KNN,4,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,4,4.917331922389778,3.9981842997068853,15.985477694422636,3.234332534958861
SinRPMAP-KNN,5,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,5,4.880284223338408,3.9739607881482417,15.792364345739793,3.2032379039260532
SinRPMAP-KNN,6,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,6,4.914680534052097,4.005207359840643,16.041685995321657,3.232858843706638
SinRPMAP-KNN,7,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,7,4.894580100193354,3.979444766540747,15.835980649948539,3.221215404125074
SinRPMAP-KNN,8,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,8,4.846015640517289,3.969713855537679,15.758628094847824,3.1879292368229586
SinRPMAP-KNN,9,5.41100565187089,4.389585904910201,19.26846441658631,3.4775891996142723
SinRPMAP-RF,9,4.890259191076682,3.987845458610941,15.902911401763903,3.2295287549550364
RPMAP-KNN,0,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,0,4.659883427191252,3.70068898045681,13.695098930074463,3.041808461417354
RPMAP-KNN,1,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,1,4.582440904695681,3.6588423388542486,13.387127260592429,3.004194546302128
RPMAP-KNN,2,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,2,4.629462294938696,3.67004397427942,13.46922277314468,3.0298180093721547
RPMAP-KNN,3,4.509926357937681,3.6221714162910796,13.120125768996125,2.8697713183634113
RPMAP-RF,3,4.636592281374995,3.6950860557437237,13.653660959351708,3.041407916527268
