Model,Mean_Euclidean_Dist,RMSE,MSE,MAE
WcGAN (DA)-KNN,4.498 +- 0.086,3.598 +- 0.065,12.949 +- 0.472,2.854 +- 0.066
RPMAP-KNN,4.51 +- 0.0,3.622 +- 0.0,13.12 +- 0.0,2.87 +- 0.0
cGAN (DA)-KNN,4.511 +- 0.0,3.623 +- 0.0,13.128 +- 0.0,2.87 +- 0.0
RPMAP-RF,4.634 +- 0.031,3.686 +- 0.024,13.584 +- 0.174,3.031 +- 0.016
WcGAN-GP (DA)-KNN,4.664 +- 0.141,3.702 +- 0.096,13.714 +- 0.714,2.964 +- 0.105
cGAN (DA)-RF,4.67 +- 0.019,3.686 +- 0.018,13.59 +- 0.13,3.014 +- 0.014
WcGAN (DA)-RF,4.716 +- 0.067,3.758 +- 0.059,14.124 +- 0.444,3.069 +- 0.034
WcGAN-GP (DA)-RF,4.73 +- 0.099,3.755 +- 0.056,14.102 +- 0.42,3.049 +- 0.072
WcGAN (SYN)-RF,4.829 +- 0.121,3.702 +- 0.094,13.715 +- 0.696,3.126 +- 0.066
SinRPMAP-RF,4.893 +- 0.023,3.985 +- 0.015,15.884 +- 0.122,3.221 +- 0.015
WcGAN-GP (SYN)-RF,5.128 +- 0.209,3.972 +- 0.148,15.794 +- 1.176,3.271 +- 0.117
SinRPMAP-KNN,5.411 +- 0.0,4.39 +- 0.0,19.268 +- 0.0,3.478 +- 0.0
WcGAN-GP (SYN)-KNN,5.472 +- 0.217,4.238 +- 0.2,17.994 +- 1.679,3.476 +- 0.114
WcGAN (SYN)-KNN,5.522 +- 0.329,4.292 +- 0.225,18.467 +- 1.949,3.474 +- 0.208
cGAN (SYN)-KNN,6.494 +- 1.035,5.024 +- 0.84,25.88 +- 9.351,4.127 +- 0.688
cGAN (SYN)-RF,8.545 +- 0.699,6.685 +- 0.503,44.924 +- 6.315,5.574 +- 0.483
