Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
SinRPMAP-KNN,0,0,5.520612460034455,4.595558796897033,21.11916065573771,3.648524590163934
SinRPMAP-KNN,0,1,5.270790794602628,3.7607550689355698,14.143278688524584,3.018032786885245
SinRPMAP-KNN,0,2,8.75013142758439,6.187277268718447,38.28240000000001,5.819999999999999
SinRPMAP-KNN,0,3,2.5933171489433926,2.5833362594730476,6.673626229508198,1.5239344262295078
SinRPMAP-KNN,0,4,8.257952982330169,6.121417386494089,37.47175081967213,5.446229508196721
SinRPMAP-KNN,0,5,4.720169488482378,3.3376638536557266,11.139999999999997,3.299999999999999
SinRPMAP-KNN,0,6,2.9680528767151397,2.7553941136090625,7.592196721311472,2.000327868852458
SinRPMAP-KNN,0,7,4.178781729651062,2.9586283928897044,8.753481967213116,2.8757377049180337
SinRPMAP-KNN,0,8,5.721130774211991,4.477412894686863,20.0472262295082,3.688852459016394
SinRPMAP-KNN,0,9,4.5694638635183455,3.2310988842807014,10.439999999999994,2.9999999999999996
SinRPMAP-KNN,0,10,3.610102279890457,2.791086515037868,7.79016393442623,2.2819672131147533
SinRPMAP-KNN,0,11,4.569463863518348,3.2310988842807036,10.440000000000008,3.0000000000000018
SinRPMAP-KNN,0,12,6.395037120971195,4.69756825825699,22.067147540983616,3.5718032786885248
SinRPMAP-KNN,0,13,1.6243152403397576,1.1485643212288994,1.3192000000000024,1.1400000000000008
SinRPMAP-KNN,0,14,4.75961428707546,3.444217772669692,11.862636065573774,3.3173770491803287
SinRPMAP-KNN,0,15,9.833023793113895,7.542317772213605,56.8865573770492,6.472786885245902
SinRPMAP-KNN,0,16,8.645135950822059,6.4447706594152,41.53506885245903,5.013442622950819
SinRPMAP-RF,0,0,5.165666806570911,3.8644994572581735,14.934356055148717,3.4570295802226156
SinRPMAP-RF,0,1,3.3357648655142382,2.9273848804668066,8.569582238385658,2.242887581671
SinRPMAP-RF,0,2,9.104893541387508,6.438131965096707,41.44954319999999,5.978399999999998
SinRPMAP-RF,0,3,6.144688339917398,4.383165439161166,19.212139267056894,4.233821480199556
SinRPMAP-RF,0,4,6.4871453047621275,4.98677183239416,24.867893308359804,4.063792048778302
SinRPMAP-RF,0,5,1.0503585673473586,0.7427156656487042,0.5516265599999978,0.6084000000000038
SinRPMAP-RF,0,6,3.2784137221653094,2.9211160738965636,8.532919117176874,1.8904273936177132
SinRPMAP-RF,0,7,2.7269772158213477,2.0403071687740746,4.162853342950879,1.877901639344278
SinRPMAP-RF,0,8,4.37271053037693,3.5522108623921325,12.618202010896656,2.5683684070075676
SinRPMAP-RF,0,9,4.106674567091965,2.9038574345170574,8.432387999999987,2.7120000000000015
SinRPMAP-RF,0,10,1.6427786585184185,1.2201358894961336,1.4887315888365211,1.1046069725952263
SinRPMAP-RF,0,11,2.1744648996937084,1.537578876025547,2.3641487999999846,1.3811999999999975
SinRPMAP-RF,0,12,3.6215850362066644,2.5784033675109956,6.648163925592043,2.386466516689644
SinRPMAP-RF,0,13,8.410735851551012,5.947288355400531,35.37023878228275,5.8415433997135215
SinRPMAP-RF,0,14,5.528714762173352,3.921937862662424,15.381596598585102,3.884114208714776
SinRPMAP-RF,0,15,8.06216551338807,5.714902279272952,32.66010806163918,5.5266590163934275
SinRPMAP-RF,0,16,6.974520386843491,4.935237729214227,24.356571443859593,4.245966668458249
SinRPMAP-KNN,1,0,5.520612460034455,4.595558796897033,21.11916065573771,3.648524590163934
SinRPMAP-KNN,1,1,5.270790794602628,3.7607550689355698,14.143278688524584,3.018032786885245
SinRPMAP-KNN,1,2,8.75013142758439,6.187277268718447,38.28240000000001,5.819999999999999
